d,mstr,mstx,btc,strc,bps
2025-02-10,334.62,428.3,97370.27,,0.001637381601
2025-02-11,319.46,388.9,95251.04,,0.001637381601
2025-02-12,326.82,407.1,96981.66,,0.001637381601
2025-02-13,324.92,401.6,96294.85,,0.001637381601
2025-02-14,337.73,432.5,97221.52,,0.001637381601
2025-02-18,333.97,422.2,94117.42,,0.001637381601
2025-02-19,318.67,385.0,96109.45,,0.001637381601
2025-02-20,323.92,395.6,98513.58,,0.001637381601
2025-02-21,299.69,337.1,94939.21,,0.001637381601
2025-02-24,282.76,297.7,93989.52,,0.001650352119
2025-02-25,250.51,230.6,88187.09,,0.001650352119
2025-02-26,263.27,253.5,84272.08,,0.001650352119
2025-02-27,240.05,207.9,83392.77,,0.001650352119
2025-02-28,255.43,234.5,84142.34,,0.001650352119
2025-03-03,250.92,226.6,86002.85,,0.001650352119
2025-03-04,275.15,268.3,86902.22,,0.001650352119
2025-03-05,308.55,333.8,90514.13,,0.001650352119
2025-03-06,304.11,323.8,89061.9,,0.001650352119
2025-03-07,287.18,286.65,87073.46,,0.001650352119
2025-03-10,239.27,192.7,78939.75,,0.001650352119
2025-03-11,260.59,224.6,83118.8,,0.001650352119
2025-03-12,262.55,228.5,82908.83,,0.001650352119
2025-03-13,263.26,229.2,80147.98,,0.001650352119
2025-03-14,297.49,287.1,84522.01,,0.001650352119
2025-03-17,294.27,281.7,84475.27,,0.001650479885
2025-03-18,283.19,260.6,82281.98,,0.001650479885
2025-03-19,304.23,298.0,85445.69,,0.001650479885
2025-03-20,302.07,293.1,84124.72,,0.001650479885
2025-03-21,304.0,296.7,83943.97,,0.001650479885
2025-03-24,335.72,357.4,88284.34,,0.001658546841
2025-03-25,341.81,370.2,88198.74,,0.001658546841
2025-03-26,329.31,344.0,86573.34,,0.001658546841
2025-03-27,324.59,333.0,87031.5,,0.001658546841
2025-03-28,289.41,260.5,83733.74,,0.001658546841
2025-03-31,288.27,258.0,82431.02,,0.001727984761
2025-04-01,306.02,289.8,84964.98,,0.001727984761
2025-04-02,312.54,302.1,86924.01,,0.001727984761
2025-04-03,282.28,242.7,81941.55,,0.001727984761
2025-04-04,293.61,260.3,83965.83,,0.001727984761
2025-04-07,268.14,216.0,78064.83,,0.001727984761
2025-04-08,237.95,167.5,76826.33,,0.001727984761
2025-04-09,296.86,249.2,82288.2,,0.001727984761
2025-04-10,272.34,209.0,79589.05,,0.001727984761
2025-04-11,299.98,249.9,83802.05,,0.001727984761
2025-04-14,311.45,268.9,84887.25,,0.001731380119
2025-04-15,310.72,267.5,84000.38,,0.001731380119
2025-04-16,311.66,269.0,84350.55,,0.001731380119
2025-04-17,317.2,277.5,84870.23,,0.001731380119
2025-04-21,317.76,278.7,87429.99,,0.001737590077
2025-04-22,343.03,321.3,91529.09,,0.001737590077
2025-04-23,345.73,326.3,93559.17,,0.001737590077
2025-04-24,350.34,334.5,93621.09,,0.001737590077
2025-04-25,368.71,368.8,95355.86,,0.001737590077
2025-04-28,369.25,370.0,94828.6,,0.001754040406
2025-04-29,381.45,394.1,95339.41,,0.001754040406
2025-04-30,380.11,390.4,94168.61,,0.001754040406
2025-05-01,381.6,393.1,96546.35,,0.001754040406
2025-05-02,394.37,418.6,96953.31,,0.001754040406
2025-05-05,386.53,400.8,94323.05,,0.001827511673
2025-05-06,385.6,398.2,94986.14,,0.001827511673
2025-05-07,392.48,412.7,96215.97,,0.001827511673
2025-05-08,414.38,458.7,101286.35,,0.001827511673
2025-05-09,416.03,461.1,103164.99,,0.001827511673
2025-05-12,404.9,436.0,101862.51,,0.001847036635
2025-05-13,421.61,472.3,104846.15,,0.001847036635
2025-05-14,416.75,460.2,103350.46,,0.001847036635
2025-05-15,397.03,416.9,103185.02,,0.001847036635
2025-05-16,399.8,420.2,104021.9,,0.001847036635
2025-05-19,413.42,448.9,105536.28,,0.001857398659
2025-05-20,416.92,458.0,107051.27,,0.001857398659
2025-05-21,402.69,424.3,108682.56,,0.001857398659
2025-05-22,399.46,418.2,111183.12,,0.001857398659
2025-05-23,369.51,353.5,108718.63,,0.001857398659
2025-05-27,372.2,358.7,109873.7,,0.001861822585
2025-05-28,364.25,342.6,106982.24,,0.001861822585
2025-05-29,370.63,354.3,105730.47,,0.001861822585
2025-05-30,369.06,350.7,104624.25,,0.001861822585
2025-06-02,372.27,356.6,104473.96,,0.001862667723
2025-06-03,387.43,384.9,106284.38,,0.001862667723
2025-06-04,378.1,366.4,104994.73,,0.001862667723
2025-06-05,368.79,347.8,101929.55,,0.001862667723
2025-06-06,374.47,356.9,104290.76,,0.001862667723
2025-06-09,392.12,390.2,108641.05,,0.001863944841
2025-06-10,391.18,388.1,109473.95,,0.001863944841
2025-06-11,387.11,379.1,108724.62,,0.001863944841
2025-06-12,379.76,365.1,106816.0,,0.001863944841
2025-06-13,382.87,370.0,105099.28,,0.001863944841
2025-06-16,382.25,367.9,108668.04,,0.001875623914
2025-06-17,375.18,353.8,104737.29,,0.001875623914
2025-06-18,369.03,341.7,103880.57,,0.001875623914
2025-06-20,369.7,341.8,103363.84,,0.001875623914
2025-06-23,367.18,336.3,103236.3,,0.001875909507
2025-06-24,377.02,354.2,105697.19,,0.001875909507
2025-06-25,388.67,375.8,107752.31,,0.001875909507
2025-06-26,386.44,370.2,107576.52,,0.001875909507
2025-06-27,383.88,364.6,106873.32,,0.001875909507
2025-06-30,404.23,403.6,107778.67,,0.001913775199
2025-07-01,373.3,341.2,105441.39,,0.001913775199
2025-07-02,402.28,393.0,109749.21,,0.001913775199
2025-07-03,403.99,395.2,109852.84,,0.001913775199
2025-07-07,395.67,378.4,108080.57,,0.001913775199
2025-07-08,396.94,380.1,108777.64,,0.001913775199
2025-07-09,415.41,415.7,111713.44,,0.001913775199
2025-07-10,421.74,427.4,113433.35,,0.001913775199
2025-07-11,434.58,452.0,118047.46,,0.001913775199
2025-07-14,451.02,486.1,119898.91,,0.001920009985
2025-07-15,442.31,466.0,116501.52,,0.001920009985
2025-07-16,455.9,494.3,119317.88,,0.001920009985
2025-07-17,451.34,483.4,118997.29,,0.001920009985
2025-07-18,423.22,423.0,117457.9,,0.001920009985
2025-07-21,426.28,427.7,116762.44,,0.001928778491
2025-07-22,426.4,428.5,119295.74,,0.001928778491
2025-07-23,412.67,400.1,118432.2,,0.001928778491
2025-07-24,414.92,403.9,119021.38,,0.001928778491
2025-07-25,405.89,385.2,116765.35,,0.001928778491
2025-07-28,403.8,381.0,118002.34,,0.001928778491
2025-07-29,394.66,363.4,117524.16,,0.001928778491
2025-07-30,395.04,363.8,116913.71,94.5,0.001928778491
2025-07-31,401.86,377.3,116777.66,94.48,0.001928778491
2025-08-01,366.63,309.2,113243.13,94.14,0.001928778491
2025-08-04,389.24,346.0,114753.06,96.39,0.001969655425
2025-08-05,375.46,320.9,113721.86,96.5,0.001969655425
2025-08-06,383.41,334.2,115279.6,97.0,0.001969655425
2025-08-07,402.01,365.9,117518.5,97.59,0.001969655425
2025-08-08,395.13,352.6,116461.08,97.5,0.001969655425
2025-08-11,400.25,361.5,119069.25,98.05,0.0019698642
2025-08-12,394.39,350.0,119633.86,97.79,0.0019698642
2025-08-13,389.9,342.6,122776.17,97.9,0.0019698642
2025-08-14,372.94,311.5,118009.68,98.01,0.0019698642
2025-08-15,366.32,300.1,116988.03,96.95,0.0019698642
2025-08-18,363.6,295.1,116360.41,96.25,0.00197038493
2025-08-19,336.57,250.8,113177.13,93.6,0.00197038493
2025-08-20,344.37,262.5,114210.66,93.99,0.00197038493
2025-08-21,337.58,251.6,112126.98,94.44,0.00197038493
2025-08-22,358.13,281.5,116626.09,95.05,0.00197038493
2025-08-25,343.2,257.8,110681.68,95.1,0.001974057569
2025-08-26,351.36,269.3,111130.51,95.66,0.001974057569
2025-08-27,342.06,255.3,112061.19,96.52,0.001974057569
2025-08-28,338.84,249.5,112002.27,97.41,0.001974057569
2025-08-29,334.41,242.5,108226.96,97.75,0.001974057569
2025-09-02,341.62,252.2,110780.95,97.48,0.001978806183
2025-09-03,330.26,235.4,112244.59,97.67,0.001978806183
2025-09-04,327.59,230.8,109844.3,97.46,0.001978806183
2025-09-05,335.87,242.3,111609.98,97.6,0.001978806183
2025-09-08,329.9,233.4,112035.32,97.56,0.001980906976
2025-09-09,328.53,230.8,111334.52,97.33,0.001980906976
2025-09-10,326.45,228.0,113597.12,97.4,0.001980906976
2025-09-11,326.02,226.9,114475.26,97.37,0.001980906976
2025-09-12,331.44,233.9,116742.59,97.25,0.001980906976
2025-09-15,327.79,228.2,115320.37,96.9,0.00198143139
2025-09-16,335.09,238.1,116803.69,96.95,0.00198143139
2025-09-17,329.71,230.4,115729.71,97.26,0.00198143139
2025-09-18,349.12,257.6,117486.6,97.5,0.00198143139
2025-09-19,344.75,250.2,115175.92,97.7,0.00198143139
2025-09-22,335.93,237.0,112184.29,97.55,0.001982369894
2025-09-23,327.78,225.5,111676.88,97.4,0.001982369894
2025-09-24,323.31,219.1,113494.3,97.5,0.001982369894
2025-09-25,300.7,188.2,109351.21,96.92,0.001982369894
2025-09-26,309.06,197.6,109237.97,97.0,0.001982369894
2025-09-29,326.42,219.5,114300.71,97.05,0.001982567092
2025-09-30,322.21,213.8,114394.54,97.06,0.001982567092
2025-10-01,338.41,235.0,117490.7,97.98,0.001982567092
2025-10-02,352.33,254.0,120897.2,98.97,0.001982567092
2025-10-03,351.63,252.8,122736.22,99.0,0.001982567092
2025-10-06,359.69,263.5,125420.2,99.15,0.001982567092
2025-10-07,328.4,218.2,121742.66,98.7,0.001982567092
2025-10-08,330.8,220.5,123500.16,98.9,0.001982567092
2025-10-09,320.29,206.5,120998.8,98.75,0.001982567092
2025-10-10,304.79,186.0,116673.0,98.63,0.001982567092
2025-10-13,315.47,198.6,115924.75,99.03,0.001982764702
2025-10-14,300.67,179.7,112735.98,98.8,0.001982764702
2025-10-15,296.76,174.7,111416.59,98.38,0.001982764702
2025-10-16,283.84,159.4,108226.65,97.3,0.001982764702
2025-10-17,289.87,165.6,106490.47,97.4,0.001982764702
2025-10-20,296.61,173.2,110856.19,98.62,0.00198290993
2025-10-21,301.91,179.2,111831.59,98.625,0.00198290993
2025-10-22,280.81,154.3,107837.41,98.12,0.00198290993
2025-10-23,284.92,158.0,110272.05,98.67,0.00198290993
2025-10-24,289.08,162.4,110648.44,98.71,0.00198290993
2025-10-27,295.63,170.0,114897.96,98.5,0.001983212138
2025-10-28,284.64,157.2,113662.38,98.6,0.001983212138
2025-10-29,275.36,146.7,110716.09,98.72,0.001983212138
2025-10-30,254.57,124.2,106510.96,98.89,0.001983212138
2025-10-31,269.51,138.7,109806.09,99.38,0.001983212138
2025-11-03,264.67,133.2,106613.51,99.61,0.002023335362
2025-11-04,246.99,115.4,100701.06,99.74,0.002023335362
2025-11-05,255.0,122.5,103863.73,100.01,0.002023335362
2025-11-06,237.2,105.4,100860.14,99.89,0.002023335362
